Namn;Märke;Typ;Pris;Förmånsvärde;Url
S 580 4MATIC lång;Mercedes Benz;Bensin;1 356 000 kr;18 623 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-s-580-4matic-lang
S 580 e 4MATIC lång;Mercedes Benz;Laddhybrid;1 372 000 kr;17 066 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-s-580-e-4matic-lang
Sprinter 211 CDI Fighter Skåp FWD;Mercedes Benz;Diesel;380 500 kr;6 138 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-211-cdi-fighter-skap-fwd
Sprinter 211 CDI Chassi EH FWD;Mercedes Benz;Diesel;395 800 kr;6 334 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-211-cdi-chassi-eh-fwd
Sprinter 311 CDI Chassi EH FWD;Mercedes Benz;Diesel;429 100 kr;6 760 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-chassi-eh-fwd
Sprinter 215 CDI Chassi EH FWD;Mercedes Benz;Diesel;438 800 kr;6 884 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-215-cdi-chassi-eh-fwd
Sprinter 211 CDI Skåp FWD;Mercedes Benz;Diesel;444 200 kr;6 953 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-211-cdi-skap-fwd
Sprinter 311 CDI Chassi EH;Mercedes Benz;Diesel;455 800 kr;7 102 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-chassi-eh
Sprinter 211 CDI Chassi DH;Mercedes Benz;Diesel;457 000 kr;7 117 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-211-cdi-chassi-dh
Sprinter 211 CDI Tourer;Mercedes Benz;Diesel;470 500 kr;7 290 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-211-cdi-tourer
Sprinter 315 CDI Chassi EH FWD;Mercedes Benz;Diesel;472 500 kr;7 315 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-chassi-eh-fwd
Sprinter 311 CDI Skåp FWD;Mercedes Benz;Diesel;477 700 kr;7 382 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-skap-fwd
Sprinter 215 CDI Skåp FWD;Mercedes Benz;Diesel;487 600 kr;7 509 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-215-cdi-skap-fwd
Sprinter 311 CDI Chassi DH;Mercedes Benz;Diesel;490 500 kr;7 546 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-chassi-dh
Sprinter 315 CDI Chassi EH;Mercedes Benz;Diesel;497 800 kr;7 639 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-chassi-eh
Sprinter 215 CDI Chassi DH;Mercedes Benz;Diesel;499 000 kr;7 655 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-215-cdi-chassi-dh
Sprinter 311 CDI Skåp;Mercedes Benz;Diesel;500 700 kr;7 676 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-skap
Sprinter 311 CDI Tourer;Mercedes Benz;Diesel;503 800 kr;7 716 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-311-cdi-tourer
Sprinter 317 CDI Chassi EH;Mercedes Benz;Diesel;504 800 kr;7 729 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-317-cdi-chassi-eh
Sprinter 217 CDI Chassi DH;Mercedes Benz;Diesel;505 700 kr;7 740 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-217-cdi-chassi-dh
Sprinter 215 CDI Tourer;Mercedes Benz;Diesel;512 500 kr;7 827 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-215-cdi-tourer
Sprinter 315 CDI Skåp FWD;Mercedes Benz;Diesel;521 200 kr;7 939 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-skap-fwd
Sprinter 319 CDI Chassi EH;Mercedes Benz;Diesel;531 000 kr;8 064 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-319-cdi-chassi-eh
Sprinter 315 CDI Chassi DH;Mercedes Benz;Diesel;532 200 kr;8 080 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-chassi-dh
Sprinter 217 CDI Tourer;Mercedes Benz;Diesel;534 500 kr;8 109 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-217-cdi-tourer
Sprinter 317 CDI Chassi DH;Mercedes Benz;Diesel;539 000 kr;8 167 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-317-cdi-chassi-dh
Sprinter 315 CDI Skåp;Mercedes Benz;Diesel;543 000 kr;8 218 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-skap
Sprinter 315 CDI Tourer;Mercedes Benz;Diesel;545 800 kr;8 254 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-315-cdi-tourer
Sprinter 317 CDI Skåp;Mercedes Benz;Diesel;549 300 kr;8 298 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-317-cdi-skap
Sprinter 319 CDI Chassi DH;Mercedes Benz;Diesel;565 500 kr;8 506 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-319-cdi-chassi-dh
Sprinter 317 CDI Tourer;Mercedes Benz;Diesel;567 500 kr;8 531 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-317-cdi-tourer
Sprinter 319 CDI Skåp;Mercedes Benz;Diesel;581 200 kr;8 707 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-319-cdi-skap
Sprinter 319 CDI Tourer;Mercedes Benz;Diesel;599 100 kr;8 936 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-sprinter-319-cdi-tourer
T-klass 180 SE Edition;Mercedes Benz;Bensin;299 900 kr;5 106 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-t-klass-180-se-edition
T-klass 180 d SE Edition;Mercedes Benz;Diesel;316 900 kr;5 324 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-t-klass-180-d-se-edition
V 220 d Standard lång SE Edition;Mercedes Benz;Diesel;613 600 kr;9 121 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-220-d-standard-lang-se-edition
V 220 d Standard lång;Mercedes Benz;Diesel;624 300 kr;9 258 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-220-d-standard-lang
V 250 d standard SE Edition;Mercedes Benz;Diesel;632 400 kr;9 362 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-standard-se-edition
V 250 d Standard lång;Mercedes Benz;Diesel;643 100 kr;9 499 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-standard-lang
V 300 d Standard SE Edition;Mercedes Benz;Diesel;667 100 kr;9 806 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-standard-se-edition
V 300 d Standard lång;Mercedes Benz;Diesel;677 800 kr;9 943 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-standard-lang
V 220 d Avantgarde SE Edition;Mercedes Benz;Diesel;679 900 kr;9 970 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-220-d-avantgarde-se-edition
V 220 d Avantgarde lång;Mercedes Benz;Diesel;703 900 kr;10 277 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-220-d-avantgarde-lang
V 250 d Avantgarde SE Edition;Mercedes Benz;Diesel;705 900 kr;10 303 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-avantgarde-se-edition
V 250 d Avantgarde lång;Mercedes Benz;Diesel;729 900 kr;10 610 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-avantgarde-lang
V 300 d Avantagarde SE Edition;Mercedes Benz;Diesel;740 600 kr;10 747 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-avantagarde-se-edition
V 300 d Avantgarde lång;Mercedes Benz;Diesel;764 600 kr;11 054 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-avantgarde-lang
V 250 d Exclusive lång;Mercedes Benz;Diesel,Prisökning +3.65 %;897 200 kr;12 751 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-exclusive-lang
V 300 d Exclusive lång;Mercedes Benz;Diesel,Prisökning +3.67 %;929 500 kr;13 164 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-exclusive-lang
V 250 d Marco Polo Edition lång;Mercedes Benz;Diesel;953 000 kr;13 465 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-250-d-marco-polo-edition-lang
V 300 d Marco Polo Edition lång;Mercedes Benz;Diesel;984 500 kr;13 868 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-v-300-d-marco-polo-edition-lang
Vito 110 CDI skåp lång Fighter;Mercedes Benz;Diesel;378 100 kr;6 107 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-110-cdi-skap-lang-fighter
Vito 114 CDI skåp lång Fighter;Mercedes Benz;Diesel;406 000 kr;6 464 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-114-cdi-skap-lang-fighter
Vito 110 CDI skåp;Mercedes Benz;Diesel;422 100 kr;6 670 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-110-cdi-skap
Vito 110 CDI Mixto;Mercedes Benz;Diesel;440 600 kr;6 907 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-110-cdi-mixto
Vito 116 CDI Skåp lång STAR;Mercedes Benz;Diesel;449 800 kr;7 025 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-skap-lang-star
Vito 114 CDI skåp;Mercedes Benz;Diesel;466 600 kr;7 240 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-114-cdi-skap
Vito 116 CDI skåp;Mercedes Benz;Diesel;484 300 kr;7 466 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-skap
Vito 114 CDI Mixto;Mercedes Benz;Diesel;491 300 kr;7 556 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-114-cdi-mixto
Vito 116 CDI Mixto STAR;Mercedes Benz;Diesel;503 600 kr;7 713 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-mixto-star
Vito 116 CDI Mixto;Mercedes Benz;Diesel;505 100 kr;7 733 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-mixto
Vito 119 CDI skåp;Mercedes Benz;Diesel;521 800 kr;7 946 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-skap
Vito 119 CDI Mixto;Mercedes Benz;Diesel;542 200 kr;8 208 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-mixto
Vito 119 CDI skåp Ed1;Mercedes Benz;Diesel;568 600 kr;8 545 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-skap-ed1
Vito 119 CDI Edition 1;Mercedes Benz;Diesel;598 600 kr;8 929 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-edition-1
Vito 114 CDI Tourer Pro;Mercedes Benz;Diesel;602 100 kr;8 974 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-114-cdi-tourer-pro
Vito 116 CDI Tourer Pro;Mercedes Benz;Diesel;621 600 kr;9 224 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-tourer-pro
Vito 119 CDI Tourer Pro;Mercedes Benz;Diesel;627 800 kr;9 303 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-tourer-pro
Vito 114 CDI Tourer Select;Mercedes Benz;Diesel;632 600 kr;9 364 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-114-cdi-tourer-select
Vito 116 CDI Tourer Select;Mercedes Benz;Diesel;651 800 kr;9 610 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-116-cdi-tourer-select
Vito 124 CDI Tourer Pro;Mercedes Benz;Diesel;654 300 kr;9 642 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-124-cdi-tourer-pro
Vito 119 CDI Tourer Select;Mercedes Benz;Diesel;658 500 kr;9 696 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-119-cdi-tourer-select
Vito 124 CDI Tourer Select;Mercedes Benz;Diesel;684 800 kr;10 033 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mercedes-benz-vito-124-cdi-tourer-select
EHS Comfort;MG;Laddhybrid;397 500 kr;4 594 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-ehs-comfort
EHS Luxury;MG;Laddhybrid;426 500 kr;4 965 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-ehs-luxury
Marvel R Luxury 70 kWh;MG;El,Prisökning +3.00 %;514 900 kr;4 593 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-marvel-r-luxury-70-kwh
Marvel R Performance 70 kWh;MG;El,Prisökning +2.80 %;549 900 kr;4 817 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-marvel-r-performance-70-kwh
MG4 Standard 51 kWh;MG;El;349 900 kr;3 537 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg4-standard-51-kwh
MG4 Comfort 64 kWh;MG;El;394 900 kr;3 825 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg4-comfort-64-kwh
MG4 Luxury 64 kWh;MG;El;414 900 kr;3 953 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg4-luxury-64-kwh
MG5 Comfort 50,3 kWh;MG;El;389 200 kr;3 789 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg5-comfort-50-3-kwh
MG5 Luxury 50,3 kWh;MG;El;403 900 kr;3 883 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg5-luxury-50-3-kwh
MG5 Comfort 61,1 kWh;MG;El;415 200 kr;3 955 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg5-comfort-61-1-kwh
MG5 Luxury 61,1 kWh;MG;El;429 900 kr;4 049 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-mg5-luxury-61-1-kwh
ZS EV Comfort 70 kWh (Facelift);MG;El;412 900 kr;3 940 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-zs-ev-comfort-70-kwh-facelift
ZS EV Luxury 70 kWh (Facelift);MG;El;442 900 kr;4 132 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mg-zs-ev-luxury-70-kwh-facelift
5 Dörr Hatch Cooper, LCI 01.2023;Mini;Bensin;236 800 kr;4 299 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-5-dorr-hatch-cooper-lci-01-2023
5 Dörr Hatch Cooper S, LCI 01.2023;Mini;Bensin;269 700 kr;4 720 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-5-dorr-hatch-cooper-s-lci-01-2023
5 Dörr Hatch Cooper Experience Edition, LCI 01.2023;Mini;Bensin;312 300 kr;5 265 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-5-dorr-hatch-cooper-experience-edition-lci-01-2023
5 Dörr Hatch Cooper S Experience Edition, LCI 01.2023;Mini;Bensin;348 000 kr;5 722 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-5-dorr-hatch-cooper-s-experience-edition-lci-01-2023
Cabrio Cooper, LCI 01.2023;Mini;Bensin;273 600 kr;4 770 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cabrio-cooper-lci-01-2023
Cabrio Cooper S, LCI 01.2023;Mini;Bensin;306 600 kr;5 192 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cabrio-cooper-s-lci-01-2023
Cabrio Cooper Essential Edition, LCI 01.2023;Mini;Bensin;336 600 kr;5 576 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cabrio-cooper-essential-edition-lci-01-2023
Cabrio Cooper S Essential Edition, LCI 01.2023;Mini;Bensin;361 300 kr;5 892 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cabrio-cooper-s-essential-edition-lci-01-2023
Cooper SE Essential Edition, Ny 01.2023;Mini;El;393 500 kr;3 816 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cooper-se-essential-edition-ny-01-2023
Cooper SE Maximise Edition, LCI 01.2023;Mini;El;445 900 kr;4 152 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cooper-se-maximise-edition-lci-01-2023
Cooper SE Resolute Edition, Ny 01.2023;Mini;El;455 900 kr;4 216 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-cooper-se-resolute-edition-ny-01-2023
Countryman Cooper ALL4, 01.2023;Mini;Bensin;340 500 kr;5 626 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-all4-01-2023
Countryman Cooper S ALL4 01.2023;Mini;Bensin;376 200 kr;6 083 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-s-all4-01-2023
Countryman Cooper ALL4 Experience Edition, 01.2023;Mini;Bensin;395 600 kr;6 331 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-all4-experience-edition-01-2023
Countryman Cooper S ALL4 Experience Edition, 01.2023;Mini;Bensin;426 100 kr;6 722 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-s-all4-experience-edition-01-2023
Countryman Cooper S E ALL4, Ny 01.2023;Mini;Laddhybrid;432 000 kr;5 035 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-s-e-all4-ny-01-2023
Countryman Cooper ALL4 Maximise Edition, 01.2023;Mini;Bensin;435 500 kr;6 842 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-all4-maximise-edition-01-2023
Countryman Cooper S ALL4 Maximise Edition, 01.2023;Mini;Bensin;449 100 kr;7 016 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-s-all4-maximise-edition-01-2023
Countryman JCW, 01.2023;Mini;Bensin;457 900 kr;7 129 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-jcw-01-2023
Countryman Cooper SE ALL4 Essential Edition, Ny 01.2023;Mini;Laddhybrid;477 000 kr;5 611 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-se-all4-essential-edition-ny-01-2023
Countryman JCW Maximise Edition, 01.2023;Mini;Bensin;526 500 kr;8 007 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-jcw-maximise-edition-01-2023
Countryman Cooper SE ALL4 Maximise Edition, Ny 01.2023;Mini;Laddhybrid;531 000 kr;6 302 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-se-all4-maximise-edition-ny-01-2023
Countryman Cooper SE ALL4 Untamed Edition, Ny 01.2023;Mini;Laddhybrid;547 000 kr;6 507 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mini-countryman-cooper-se-all4-untamed-edition-ny-01-2023
Eclipse Cross PHEV;Mitsubishi;Laddhybrid;479 900 kr;5 648 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mitsubishi-eclipse-cross-phev
Space Star M5;Mitsubishi;Bensin;174 900 kr;3 507 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mitsubishi-space-star-m5
Space Star CVT;Mitsubishi;Bensin;199 900 kr;3 827 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/mitsubishi-space-star-cvt
EL7 75 kWh;NIO;El;959 000 kr;9 092 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-el7-75-kwh
EL7 100 kWh;NIO;El;1 069 000 kr;10 500 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-el7-100-kwh
ET5 75 kWh;NIO;El;689 000 kr;5 707 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-et5-75-kwh
ET5 Premier 100 kWh;NIO;El;839 000 kr;7 557 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-et5-premier-100-kwh
ET7 75 kWh;NIO;El;919 000 kr;8 581 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-et7-75-kwh
ET7 100 kWh;NIO;El;1 029 000 kr;9 988 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nio-et7-100-kwh
ARIYA 63 kWh Advance;Nissan;El;578 200 kr;4 998 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-63-kwh-advance
ARIYA 63 kWh Evolve;Nissan;El;619 200 kr;5 261 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-63-kwh-evolve
ARIYA 87 kWh Advance;Nissan;El;637 200 kr;5 376 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-87-kwh-advance
ARIYA 87 kWh e-4ORCE Advance;Nissan;El;658 200 kr;5 510 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-87-kwh-e-4orce-advance
ARIYA 87 kWh Evolve;Nissan;El;678 200 kr;5 638 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-87-kwh-evolve
ARIYA 87 kWh e-4ORCE Evolve;Nissan;El;699 200 kr;5 773 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-ariya-87-kwh-e-4orce-evolve
Juke DIG-T 114 6MT Acenta;Nissan;Bensin;239 400 kr;4 332 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-6mt-acenta
Juke DIG-T 114 6MT N-Connecta;Nissan;Bensin;255 500 kr;4 538 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-6mt-n-connecta
Juke DIG-T 114 DCT Acenta;Nissan;Bensin;256 400 kr;4 550 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-dct-acenta
Juke DIG-T 114 DCT N-Connecta;Nissan;Bensin;272 500 kr;4 756 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-dct-n-connecta
Juke DIG-T 114 6MT Tekna;Nissan;Bensin;286 600 kr;4 936 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-6mt-tekna
Juke Hybrid 143 N-Connecta;Nissan;Elhybrid;301 500 kr;5 127 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-hybrid-143-n-connecta
Juke DIG-T 114 DCT Tekna;Nissan;Bensin;303 600 kr;5 154 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-dig-t-114-dct-tekna
Juke Hybrid 143 Tekna;Nissan;Elhybrid;332 600 kr;5 525 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-juke-hybrid-143-tekna
LEAF 39 kWh Visia;Nissan;El;379 700 kr;3 728 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-39-kwh-visia
LEAF 39 kWh Acenta;Nissan;El;408 400 kr;3 912 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-39-kwh-acenta
LEAF 39 kWh N-Connecta;Nissan;El;427 800 kr;4 036 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-39-kwh-n-connecta
LEAF 39 kWh Tekna;Nissan;El;455 400 kr;4 212 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-39-kwh-tekna
LEAF 59 kWh Acenta;Nissan;El;461 000 kr;4 248 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-59-kwh-acenta
LEAF 59 kWh N-Connecta;Nissan;El;478 800 kr;4 362 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-59-kwh-n-connecta
LEAF 59 kWh Tekna;Nissan;El;505 500 kr;4 533 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-leaf-59-kwh-tekna
Micra IG-T 92 5MT Acenta;Nissan;Bensin,Prisökning +2.76 %;186 300 kr;3 653 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-micra-ig-t-92-5mt-acenta
Micra IG-T 92 5MT N-Design;Nissan;Bensin,Prisökning +2.16 %;189 600 kr;3 695 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-micra-ig-t-92-5mt-n-design
Micra IG-T 92 Xtronic Acenta;Nissan;Bensin,Prisökning +2.57 %;199 300 kr;3 819 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-micra-ig-t-92-xtronic-acenta
Micra IG-T 92 Xtronic N-Design;Nissan;Bensin,Prisökning +2.01 %;202 600 kr;3 861 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-micra-ig-t-92-xtronic-n-design
Primastar Skåp dCi 150 MT Acenta L2H1;Nissan;Diesel;417 900 kr;6 617 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-skap-dci-150-mt-acenta-l2h1
Primastar Skåp dCi 150 MT N-Connecta;Nissan;Diesel;430 500 kr;6 778 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-skap-dci-150-mt-n-connecta
Primastar Skåp dCi 170 MT N-Connecta;Nissan;Diesel;440 500 kr;6 906 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-skap-dci-170-mt-n-connecta
Primastar Combi-9 150 6MT N-Connecta;Nissan;Diesel;478 300 kr;7 390 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-combi-9-150-6mt-n-connecta
Primastar Combi-9 150 6AMT Tekna;Nissan;Diesel;489 400 kr;7 532 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-combi-9-150-6amt-tekna
Primastar Combi-9 150 A/T N-Connecta;Nissan;Diesel;502 000 kr;7 693 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-combi-9-150-a-t-n-connecta
Primastar Combi-9 170 A/T N-Connecta;Nissan;Diesel;505 800 kr;7 742 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/nissan-primastar-combi-9-170-a-t-n-connecta
